광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,mid_cluster,major_cluster
코웨이 리클라이닝 안마베드 : 안마의 마무리편,2024-07-24,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,5,A
삼성전자 갤럭시 Z 폴드6 : 노트 어시스트편,2024-07-24,15.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
오비맥주 카스 : 올림픽 승리의 소리편,2024-07-24,15.0,음료및기호식품,알콜음료,맥주,78,N
어댑트 오브제 덱 커버로션 : 최고 버전편,2024-07-24,15.0,식품,건강식품,다이어트식품,10,L
미래엔 : 클래스가 다르다편,2024-07-24,15.0,출판,초등학생용교재,초등학생용학습지,119,Q
케이비자산운용  KB자산운용 RISE ETF : 떠오르는 투자편,2024-07-24,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",23,G
오비맥주 카스 : 올림픽편,2024-07-24,15.0,음료및기호식품,알콜음료,맥주,78,N
농협은행 NH올원뱅크 : 개인맞춤편,2024-07-24,30.0,"금융,보험및증권",금융및보험,은행,24,G
하겐다즈 : 편의점 혜택편,2024-07-24,15.0,식품,아이스크림,아이스크림제품종합,77,L
서울특별시의사회  : 돌아가고 싶습니다편,2024-07-24,15.0,관공서및단체,단체,민간단체,36,D
한국토요타자동차 렉서스 LM : 런칭편,2024-07-24,30.0,수송기기,수입자동차,수입자동차기타,67,K
삼성전자 노트 어시스트 : 바꿔보상편,2024-07-24,30.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
